Boston Beer Co|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Seventh Son|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Southern Tier|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Downeast Cider|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Columbus Brewing|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Sierra Nevada|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Great Lakes|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Four String|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Braxton Brewing||||
Lagunitas|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
New Belgium|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Coors Brewing|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Terrapin|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Market Garden|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
BrewDog|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
SweetWater|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Oskar Blues|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Leinenkugel|1.0,236.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Abita|136.5,126.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Bells|136.5,126.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Dark Horse|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Erie|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Epic|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Founders|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
HiWire|136.5,126.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Kindred|136.5,126.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
