10 Barrel,JOE,IPA,6.7%,Bend,OR,0,0,0,,,
21st AMENDMENT,BLOOD ORANGE,AMERICAN IPA,7%,San Francisco ,CA,0,0,0,,,
21st AMENDMENT,SAISON,FARMHOUSE/ SAISON,7.6%,San Francisco  ,CA,0,0,0,,,
4 string,Hilltop Heritage Lager,Am. Lager,4.7%,Columbus,OH,0,0,0,,,
4 string,Vanilla Porter,Porter,6%,Columbus,OH,0,0,0,,,
Abita,Purple Haze,Fruit Beer,4.2%,Abita Spring,LA,0,0,0,,,
Abita,Sweet Grapefruit Harvest,IPA,6%,Abita Spring,LA,0,0,0,,,
Against The Grain,35K,Milk Stout,7%,Louisville ,KY,0,0,0,,,
Against The Grain,Citra Ass Down,DIPA,8.2%,Louisville ,KY,0,0,0,,,
Against The Grain,London Balling,English Barleywine,12.5%,Louisville ,KY,0,1,0,,,
Alaskan,Amber,Alt bier,5.3%,Juneau,AK,0,0,0,,,
Alaskan,Spruce IPA,IPA,5.3%,Juneau,AK,0,0,0,,,
Alaskan,White ,Witbier,5.3%,Juneau,AK,0,0,0,,,
Alaskan ,Baltic/smoked,Porter,11.3%,Juneau,AK,1,0,0,,,
Alltech,Kentucky Old Fashioned,Am. Strong Ale,10%,Lexington,KY,0,0,0,,,
Alltech,Mole Stout,Stout,8.19%,Lexington,KY,0,0,0,,,
Alltech,Vanilla Barrel,Cream Ale,5.5%,Lextington,ky,0,0,0,,,
Almanac,3 Farmer's Reserve Blackberry,Sour,N/A,San Francisco,CA,1,0,0,,,
Almanac,Apricot de Brettaville,Sour,N/A,San Francisco,CA,1,0,0,,,
Almanac,Sunshine & Opportunity session sour,Saison/ Farmhouse,6.5%,San Francisco,CA,0,0,0,,,
Alpine,Duet,IPA,7%,San Diego,CA,0,0,0,,,
Alpine,Windows up,IPA,7%,San Diego,CA,0,0,0,,,
ANDERSON VALLEY,BLOOD ORANGE GOSE,Gose,4.2%,Boonville  ,CA,0,0,0,,,
ANDERSON VALLEY,FRAMBOISE ROSE GOSE,Gose,4.4%,Boonville,CA,0,1,0,,,
ANDERSON VALLEY,THRIBBLE CURRANT,Sour Ale,5.8%,Boonville,CA,0,1,0,,,
ANDERSON VALLEY,WILD TURKEY BA STOUT,Imperial Stout,7.5%,Boonville,CA,0,0,0,,,
ANDERSON VALLEY,WINTER SOLSTICE,Winter Warmer,6%,Boonville,CA,0,0,0,,,
Angry Orchard,Rose,Cider,5%,Cincinnati ,OH,0,0,0,,,
Avery,Raspberry Sour,Am. Wild Ale,6.5%,Boulder,CO,1,0,0,,,
Avery,Vanilla Bean Stout,Stout,10.8%,Boulder,CO,1,0,0,,,
Avery,Liliko'i Kepolo,Fruit Beer,5.6%,Boulder,CO,0,0,0,,,
Avery,Maharaja,DIPA,10.2%,Boulder,CO,0,0,0,,,
Avery,White Rascal,Witbier,5.6%,Boulder,CO,0,0,0,,,
B Nektar,Zombie Killer,Cider,5.5%,Ferndale ,MI,1,0,0,,,
B Nektar,Dude's Rug,Cider,5.5%,Ferndale ,MI,0,1,0,,,
B Nektar,Necromangocon,Mead,6%,Ferndale ,MI,0,1,0,,,
Bad Tom Smith Brewing,Hazy River,IPA,7.3%,Cincinnati,OH,0,0,0,,,
Bad Tom Smith Brewing,Jackson Hustler,Witbier,5.3%,Cincinnati,OH,0,0,0,,,
Ballast Point,Victory at Sea,Porter,10%,San Diego,CA,1,0,0,,,
Ballast Point,Fathom,IPA,6%,San Diego,CA,0,0,0,,,
Ballast Point,Grapefruit Sculpin,IPA,7%,San Diego,CA,0,0,0,,,
Ballast Point,Manta Ray,DIPA,8.5%,San Diego,CA,0,0,0,,,
Ballast Point,Sculpin,IPA,7%,San Diego,CA,0,0,0,,,
Ballast Point,Sour Wench,Am. Wild Ale,7%,San Diego,CA,0,1,0,,,
Ballast Point,Tongue Buckler,Red IPA,10%,San Diego,CA,0,0,0,,,
Bells,Amber,Amber Ale,5.8%,Kalamazoo,MI,0,0,0,,,
Bells,Hop Slam,DIPA,10%,Kalamazoo,MI,0,0,0,,,
Bells,Titania,Am. Pale Wheat ale,6.4%,Kalamazoo,MI,0,0,0,,,
Bells,Two Hearted,IPA,7%,Kalamazoo,MI,0,0,0,,,
Black Cloister,Casilda,Vienna Lager,5.3%,Toledo,OH,0,0,0,,,
Black Cloister,Hildegard,Berliner weiss,4%,Toledo,OH,0,0,0,,,
BLAKE'S CIDER,ARCHIMEDES,Cider,6.5%,Armada ,MI,0,0,0,,,
BLAKE'S CIDER,EL CHAVO,Cider,6.5%,Armada ,MI,0,0,0,,,
BLAKE'S CIDER,GRIZZLY PEAR,Cider,6.5%,Armada ,MI,0,0,1,,,
BLAKE'S CIDER,SANTA ROSA,Cider,6.5%,Armada ,MI,0,0,0,,,
BLAKE'S CIDER,WAKEFIRE,Cider,6.5%,Armada,MI,0,0,0,,,
Boss Dog,Dead mans curve,DIPA,9.2%,Cleveland,OH,0,0,0,,,
Boss Dog,Dog Pound Brown ,Brown,6.2%,Cleveland,OH,0,0,0,,,
Boss Dog,Put-in-berry,Fruit beer,5.1%,Cleveland,OH,0,0,0,,,
Boulevard,Tank 7,Saison/ Farmhouse,8.5%,Kansas Ciy,MO,0,0,0,,,
Boulevard,Tropical Pale,Pale Ale,6%,Kansas Ciy,MO,0,0,0,,,
Breckenridge,Mango Mosaic Pale,APA,5.5%,Breckenridge,CO,0,0,0,,,
Breckenridge,Oak Aged Saison ,Saison,6.7%,Breckenridge,CO,0,1,0,,,
Breckenridge,Vanilla Porter,Porter,11.2%,Breckenridge,CO,0,0,0,,,
Brew Dog,Coco Psycho,Imperial Stout,10%,Columbus,OH,0,0,0,,,
Brew Dog,Elvis Juice,IPA,6.5%,Columbus,OH,0,0,0,,,
Brew Dog,Hazy Jane,IPA,7.3%,Columbus,OH,0,0,0,,,
Brewkettle,F.N. Awesome,Lager,7%,Strongsville,OH,0,0,0,,,
Brewkettle,Mango Mofo,IPA,6.1%,Strongsville,OH,0,0,0,,,
Brewkettle,White Raja,IPA,6.8%,Strongsville,OH,0,0,0,,,
Brick and Barrel,Bitter Chief IPA,IPA,6.9%,Cleveland,OH,0,0,0,,,
Brick and Barrel,Noble Saison,Saison,6%,Cleveland,OH,0,0,0,,,
Brick and Barrel,Smoke on the Bend,Porter,5.5%,Cleveland,OH,0,0,0,,,
BROOKLYN,BLACK OPS,Imperial Stout,10.5%,Brooklyn,NY,1,0,0,,,
BROOKLYN,BELLAIRE,Am. Wild Ale,5.8%,Brooklyn,NY,0,0,0,,,
BROOKLYN,BLACK CHOCO STOUT,Imperial Stout,10%,Brooklyn ,NY,0,0,0,,,
BROOKLYN,DEFENDER IPA,IPA,6.7%,Brooklyn ,NY,0,0,0,,,
BROOKLYN,NARANJITO,Pale Ale,4.5%,Brooklyn ,NY,0,0,0,,,
Bruery,Frucht,Berliner Weiss,4.5%,San Diego,CA,1,0,0,,,
Bruery,Tart of Darkness,American Wild Ale,7%,San Diego,CA,1,0,0,,,
Burial,Blade & Sheath ,Saison/ Farmhouse,6%,Asheville,NC,0,0,0,,,
Butcher and the Brewer,Resposado-aged Midnight Oil,Imperial Stout,13.1%,Cleveland,OH,1,0,0,,,
Butcher and the Brewer,Albino,Stout,5.4%,Cleveland,OH,0,0,0,,,
Butcher and the Brewer,Barrel Talk BA Wild Saison,Saison/ Farmhouse,6%,Cleveland,OH,0,1,0,,,
Butcher and the Brewer,Midnight Oil,Imperial Stout,13.1%,Cleveland,OH,0,0,0,,,
Butcher and the Brewer,Pilsner,Pilsner,N/A,Cleveland,OH,0,0,0,,,
Butcher and the Brewer,Positively E. 4th,Belgian IPA,7.2%,Cleveland,OH,0,0,0,,,
CHRISTIAN MOERLEIN,Big Hazy,IPA,6.5%,Cincinnati  ,OH,0,0,0,,,
CHRISTIAN MOERLEIN,Emancipator,Doppelbock,8%,Cincinnati ,OH,0,0,0,,,
Cider Boys,Pineapple Hula,Cider,5.5%,Stevens Point ,WI,0,0,0,,,
Cider Boys,Strawberry Magic,Cider,5.5%,Stevens Point ,WI,0,0,0,,,
Collision Bend Brewing,Vernal Equinox,IPA,7%,Cleveland,OH,0,0,0,,,
Collision Bend Brewing,Miner's Lady,Grisette,4.5%,Cleveland,OH,0,0,0,,,
Collision Bend Brewing,Clurichaun ,Irish Red,4.7%,Cleveland,OH,0,0,0,,,
Collision Bend Brewing,Sixth City,Altbier,5%,Cleveland,OH,0,0,0,,,
Columbus Brewing Co.,Hoppy Brown Ale,Brown,5.4%,Columbus,OH,0,0,0,,,
Columbus Brewing Co.,IPA,IPA,6.3%,Columbus,OH,0,0,0,,,
Columbus Brewing Co.,SFW,Saison/ Farmhouse,4.7%,Columbus,OH,0,0,0,,,
Crafted Artisan,Bananas Foster,Mead,6%,Mogadore,OH,0,1,0,,,
Crafted Artisan,Madras,Mead,6%,Mogadore,OH,0,1,0,,,
Crooked Stave,Brett d Blueberry,American Wild Ale,6%,Denver,CO,0,0,0,,,
Crooked Stave,Colorado Wildsage,Saison/ Farmhouse,7.2%,Denver,CO,0,0,0,,,
Crooked Stave,Hop Savant,IPA,7%,Denver,CO,0,0,0,,,
Dark Horse,BA plead the fifth,RIS,12%,Marshall,MI,0,1,0,,,
Dark Horse,Double Crooked Tree,DIPA,8%,Marshall,MI,0,0,0,,,
Dark Horse,Raspberry Ale,Fruit Beer,5.5%,Marshall,MI,0,0,0,,,
DESCHUTES,DISSIDENT,FLANDERS OUD BRUIN,11.4%,Bend,OR,1,0,0,,,
DESCHUTES,ABYSS 2016,IMPERIAL STOUT,14%,Bend,OR,0,1,0,,,
DESCHUTES,BLACK BUTTE,PORTER,5.2%,Ben,OR,0,0,0,,,
DESCHUTES,FRESH SQUEEZED,IPA,6.4%,Bend,OR,0,0,0,,,
DESCHUTES,PACIFIC WONDERLAND LAGER,LAGER,5.5%,Bend  ,OR,0,0,0,,,
DESCHUTES,RED CHAIR,PALE ALE,6.2%,Bend,OR,0,0,1,,,
Devils Backbone,Cran Gose ,Gose,4%,Roseland,VA,0,0,1,,,
Devils Backbone,Danzig,Baltic Porter,8%,Roseland,VA,0,0,0,,,
Devils Backbone,Gold Leaf ,Helles Lager,4.5%,Roseland,VA,0,0,0,,,
Devils Backbone,Vienna,Vienna Lager,4.3%,Roseland,VA,0,0,0,,,
Dogfish Head,Immort Ale,English Strong,11%,Milton,DE,1,0,0,,,
Dogfish Head,Beer for Breakfast,Milk Stout,7.4%,Milton,DE,0,0,0,,,
Dogfish Head,Flesh and Blood,IPA,7.2%,Milton,DE,0,0,0,,,
Dogfish Head,Olde School,Barleywine,15%,Milton,DE,0,0,0,,,
Dogfish Head,Sea Quench Ale,Gose,4.9%,Milton,DE,0,0,0,,,
Double Wing,Bourbon Barrel Aged Stout,Stout,10.2%,Cleveland,OH,0,0,0,,,
Double Wing,Butter Pecan Porter,Porter,4.4%,Cleveland,OH,0,0,0,,,
Double Wing,POC ,Pilsner,4.5%,Cleveland,OH,0,0,0,,,
Down East,Dry Hopped Grapefruit,Cider,5%,Boston ,MA,0,0,0,,,
Down East,Original Blend,Cider,6%,Boston ,MA,0,0,0,,,
DuClaw,Hop Hammer,IPA,6.4%,Baltimore,MD,0,0,0,,,
DuClaw,Java Jesus,Porter,6.2%,Baltimore,MD,0,0,0,,,
Elysian,Split shot,Stout,6.7%,Seattle,WA,0,0,0,,,
Elysian ,Day glow ,IPA,6.2%,Seattle,WA,0,0,0,,,
Epic,Brainless on Cherries,Fruit Beer,10%,Salt Lake City,UT,0,1,0,,,
Epic,Common Interest,Sour,7%,Salt Lake City,UT,0,0,0,,,
Epic,NE IPA,IPA,7%,Salt Lake City,UT,0,0,0,,,
Epic,Tart n' Juicy,IPA,4.5%,Salt Lake City,UT,0,0,0,,,
Erie,Cherry Bomb,Fruit Beer,4%,Erie,PA,0,0,0,,,
Erie,Skipper Stout,Stout,7%,Erie,PA,0,0,0,,,
Fat Heads,TBD,,N/A,North Olmsted,OH,1,0,0,,,
Fat Heads,Bumbleberry,Fruit beer,5.3%,North Olmsted,OH,0,0,0,,,
Fat Heads,Head Hunter,IPA,7.5%,North Olmsted,OH,0,0,0,,,
Fat Heads,Head Trip,Belgian Tripel,9.3%,North Olmsted,OH,0,0,0,,,
Fat Heads,IBUsive IPA,IPA,7.4%,North Olmsted,OH,0,1,0,,,
Forbidden Root,Money on my Rind,Witbier,5%,Chicago ,IL,0,0,0,,,
Forbidden Root,Sublime Ginger,Spiced beer,3.8%,Chicago ,IL,0,0,0,,,
Founders,All Day,Pale,4.7%,Grand Rapids,MI,0,0,0,,,
Founders,Azacca,IPA,7.3%,Grand Rapids,MI,0,0,0,,,
Founders,Breakfast Stout,Stout,8.3%,Grand Rapids,MI,0,0,0,,,
Founders,Rubaeus,Fruit beer,5.7%,Grand Rapids,MI,0,0,0,,,
Franklin Brewing,1724,ESB,6%,Cleveland,OH,0,0,0,,,
Franklin Brewing,Birchin Lane,Stout,5.5%,Cleveland,OH,0,0,0,,,
Golden Road,Get Up Off That Brown ,Brown Ale ,5.5%,Chicago,IL,0,0,0,,,
Golden Road,Mango Cart ,Wheat,5.2%,Chicago,IL,0,0,0,,,
Goldhorn,Coffee Stout,Stout,5.6%,Cleveland,OH,0,0,0,,,
Goldhorn,Number street wheat,Wheat,5.2%,Cleveland,OH,0,0,0,,,
Goose Island,Fulton Street,Blonde,5.5%,Chicago,IL,0,0,0,,,
Goose Island,Sofie,Saison,6.7%,Chicago,IL,0,0,0,,Saison / Farmhouse Ale,6.5
Goose Island ,BCBS ,BA Stout,11.5%,Chicago,IL,1,0,0,,,
Great Lakes,Blackout Stout,Imperial Stout,9%,Cleveland,OH,0,1,0,,Stout - Russian Imperial,9
Great Lakes,Commodore Perry,IPA,7.7%,Cleveland,OH,0,0,0,,IPA - English,7.7
Great Lakes,Holy Moses,Witbier,5.4%,Cleveland,OH,0,1,0,,Witbier,5.4
Great Lakes,Ohio City Oatmeal Stout,Stout,5.4%,Cleveland,OH,0,0,0,,Stout - Oatmeal,5.4
Green Flash,Vivid Sauvage,Belgian IPA,10.1%,San Diego,CA,1,0,0,,,
Green Flash,Remix,IPA,6.2%,San Diego,CA,0,0,0,,,
Green Flash,West Coast ,DIPA,8.1%,San Diego,CA,0,0,0,,IPA - Imperial / Double,8.1
Guinness,200th Anniversary,Stout,6%,Dublin,Ireland,0,0,0,,Stout - Foreign / Export,6
Guinness,Blonde American Lager,Lager,5%,Dublin,Ireland,0,0,0,,Lager - Pale,5
Guinness,Extra Stout,Stout,7.5%,Dublin,Ireland,0,0,0,,Stout - Foreign / Export,7.5
Guinness,Guinness Draught,Stout,4.2%,Dublin,Ireland,0,0,0,,Stout - Irish Dry,4.2
Hansa,Black Flag,Schwartz Bier,4.8%,Cleveland,OH,0,0,0,,,
Hansa,Out Cold,Porter,5.1%,Cleveland,OH,0,0,0,,,
Hansa,Plumbus,Gose,4.6%,Cleveland,OH,0,0,0,,,
Heavy Seas,AmeriCannon,DIPA,9.5%,Baltimore,MD,0,0,0,,,
Heavy Seas,Double Cannon,IPA,7.25%,Baltimore,MD,0,0,0,,IPA - Imperial / Double,9.5
Heavy Seas,Loose Cannon,Pale Ale,5.75%,Baltimore,MD,0,0,0,,IPA - American,7.25
Heavy Seas,Tropicannon,IPA,7.25%,Baltimore,MD,0,0,0,,IPA - American,7.25
Hi Wire,Hi-Pitch,IPA,6%,Asheville,NC,0,0,0,,,
Hi Wire,Strongman Milk stout,Stout,5.3%,Asheville,NC,0,0,0,,,
Jackie O's,Berliner Weisse,Amber,4.5%,Athens,OH,0,0,0,,,
Jackie O's,Dark Apperation,Imperial Stout,10.5%,Athens,OH,0,0,0,,,
Jackie O's,Mystic Mama,IPA,7%,Athens,OH,0,0,0,,,
Jackie O's,Razz Wheat,American Wheat,5.5%,Athens,OH,0,0,0,,,
Jolly Pumpkin,Noel de Calabaza,Belgian Dark Strong,9%,Athens,OH,1,0,0,,,
Jolly Pumpkin,Sobrehumano,Ameriacn Wild Ale,6%,Athens,OH,1,0,0,,,
Kindred,Camp Fire,Pale Ale,4.2%,Columbus,OH,0,0,0,,,
Kindred,Hodad,IPA,7.5%,Columbus,OH,0,0,0,,,
Kindred,Oj Curacao Belgian Chocolate,Stout,8.8%,Columbus,OH,0,0,0,,,
Kindred,Waves Pale Ale,Pale Ale,6.3%,Columbus,OH,0,0,0,,,
Lagunitas,IPA,IPA,6.2%,Petaluma,CA,0,0,0,,IPA - American,6.2
Lagunitas,Sumpin Easy,Pale Ale,TBD%,Petaluma,CA,0,0,0,,,
Lagunitas,Brown Shugga,American Strong Ale,10%,Petaluma,CA,0,0,0,,Strong Ale - American,10
Lagunitas,Willettized Coffee Stout,Imperial Stout,12%,Petaluma,CA,0,0,0,,,
Land Grant,Deep Search Baltic Porter,Porter,N/A,Columbus,OH,0,0,0,,,
Land Grant,Stevesy Helles Lager,Helles Lager,5.5%,Columbus,OH,0,0,0,,,
Land Grant,Stiff Arm IPA,IPA,6.4%,Columbus,OH,0,0,0,,,
Latitude 42 Brewing,Nectar of a Goddess,Wheat,4.8%,Portage,MI,0,0,0,,,
