Boston Beer Co,Octoberfest,Oktoberfest,5.3%,Boston,MA,0,0,0,Märzen,5.3
Boston Beer Co,New England IPA,NEIPA,"6%,8",Boston,1,0,0,,
Boston Beer Co,Sam 76,Lager,4.7%,Boston,MA,0,0,0,,
Seventh Son,Sun Mouth,Saison,7.8%,Columbus,OH,0,0,0,,
Seventh Son,Lemongrass Wit,Witbier,4.9%,Columbus,OH,0,0,0,,
Seventh Son,Humulus Nimbus,Pale Ale,6%,Columbus,OH,0,0,0,,
Seventh Son,Proliferous,DIPA,8.3%,Columbus,OH,0,0,0,,
Southern Tier,3 Citrus Peel Out,Pale Wheat,8.5%,Lakewood,NY,0,0,0,Fruit Beer,8.5
Southern Tier,8 Days A week,Blonde Ale,4.8%,Lakewood,NY,0,0,0,,
Southern Tier,Nu Skool,IPA,6%,Lakewood,NY,0,0,0,IPA - American,6
Southern Tier,Lemon Drop Sun,Pale Wheat,5.1%,Lakewood,NY,0,0,0,,
Boston Beer Co,Angry Orchard Crisp,Cider,5%,Walden,NY,0,0,0,,
Boston Beer Co,Angry Orchard Rose,Cider,5.5%,Walden,NY,0,0,0,,
Downeast Cider,Downeast Original,Cider,5.1%,East Boston,MA,0,0,0,,
Downeast Cider,Downeast Summer,Cider,4.5%,East Boston,MA,0,0,0,,
Columbus Brewing,Columbus Brewing Ales for ALS,IPA,7.5%,Columbus,OH,0,0,0,,
Columbus Brewing,Columbus Brewing Bodhi,Imp. IPA,8.5%,Columbus,OH,0,0,0,,
Columbus Brewing,Columbus Brewing Summerteeth,Kellerbier,5%,Columbus,OH,0,0,0,,
Columbus Brewing,Columbus Brewing IPA,IPA,6%,Columbus,OH,0,0,0,,
Sierra Nevada,Sierra Nevada Hazy Little Thing,IPA,6.7%,Chico,CA,0,0,0,,
Sierra Nevada,Sierra Nevada Oktoberfest,Oktoberfest,5.4%,Chico,CA,0,0,0,,
Great Lakes,Great Lakes Oktoberfest,Oktoberfest,6.5%,Cleveland,OH,0,0,0,,
Great Lakes,Great Lakes Lake Erie Monster,Imp. IPA,9.1%,Cleveland,OH,0,0,0,,
Four String,Four String Hilltop Lager,Am. Lager,4%,Columbus,OH,0,0,0,,
