1911,Blueberry,Cider,5.5%,Lafayette,NY,0,0,0,,,
1911,Original,Cider,5.5%,Lafayette,NY,0,0,0,,,
21st Amendment,Back in Black,Black Ale,6.8%,San Francisco,CA,0,0,0,,,
21st Amendment,Blood Orange Brew Free,IPA,7%,San Francisco,CA,0,0,0,,,
2SP,2SPilsner,Keller Bier,5%,Aston ,PA,0,0,0,,,
2SP,ANTONYM ALE,Farmhouse/ Saison,4.5%,Aston ,PA,1,0,0,,,
2SP,CITRUS RHINE'D,Pale Ale,6.5%,Aston ,PA,0,1,0,,,
2SP,Delco lager,Amber Lager,4%,Aston ,PA,0,0,0,,,
Abita,3090 DRY HOPPED GOLDEN ALE,APL,4.5%,Abita Springs,LA,0,0,0,,,
Abita,GRAPEFRUIT HONEY,Fruit beer,4.2%,Abita Springs,LA,0,0,0,,,
Ace,Joker ,Cider,6.9%,Sebastopol,CA,0,0,0,,,
Ace,Space ,Cider,6.9%,Sebastopol,CA,0,1,0,,,
Ale Smith Brewing,IPA,IPA,7%,San Diego,CA,0,0,0,,,
Ale Smith Brewing,Speedway Stout,Stout,12%,San Diego,CA,0,0,0,,,
Allagash,Black,Belgian Dark,7.5%,Portland,ME,0,0,0,,,
Allagash,Curieux BA,Tripel,11%,Portland,ME,1,0,0,,,
Allagash,Hoppy Table Beer,Belgian Pale,4.8%,Portland,ME,0,0,0,,,
Allagash,Triple,Tripel,9%,Portland,ME,0,1,0,,,
Allagash,White,Witbier,5.1%,Portland,ME,0,0,0,,,
Alltech,Honey Brown ,Brown,10%,Lexington ,KY,0,0,0,,,
Alltech,Vanilla Cream,Cream Ale,5.5%,Lexington ,KY,0,0,0,,,
Almanac,Simcoe Flavor Wheel,Farmhouse/ Saison,7%,San Francisco,CA,0,1,0,,,
Almanac,Strawberry Rhubarb,Am. Wild Ale,6%,San Francisco,CA,0,1,0,,,
Alpine,Duet,IPA,7%,Alpine,CA,0,0,0,,,
Alpine,Pure Hoppiness,DIPA,8%,Alpine,CA,0,0,0,,,
Alpine,Truck Trail,Pale Ale,5.5%,Alpine,CA,0,0,0,,,
Anderson Valley,G&T Gose,Gose,4.2%,Boonville,CA,0,0,0,,,
Anderson Valley,TBD,,N/A,Boonville,CA,0,0,0,,,
Angry Orchard,Crisp apple,Cider,5%,Jamacia Plain,MA,0,0,0,,,
Angry Orchard,Easy Apple,Cider,5%,Jamacia Plain,MA,0,0,0,,,
Arrogant Bastard,Arrogant Bastard,American Strong,9%,Escondido,CA,0,0,0,,,
Austin Eastcider,Blood Orange ,Cider,5%,Austin,TX,0,0,0,,,
Austin Eastcider,Honey,Cider,5%,Austin,TX,0,0,0,,,
Austin Eastcider,Hopped ,Cider,5%,Austin,TX,0,0,0,,,
Avery,Liliko'i,Fruit beer,5.6%,Boulder,CO,0,0,0,,,
Avery,Maharaja,DIPA,10%,Boulder,CO,0,0,0,,,
Avery,Raspberry Sour,Am. Wild Ale,6.5%,Boulder,CO,1,0,0,,,
Avery,TBD,,N/A,Boulder,CO,0,1,0,,,
Avery,Vanilla Bean,Imperial Stout,10.8%,Boulder,CO,1,0,0,,,
Avery,White,Witbier,5.6%,Boulder,CO,0,0,0,,,
Ballast Point,Fathom,IPA,6%,San Diego ,CA,0,0,0,,,
Ballast Point,Grapefruit Sculpin,IPA,7%,San Diego ,CA,1,0,0,,,
Ballast Point,Sculpin,IPA,7%,San Diego ,CA,0,0,0,,,
Ballast Point,Sea Rose,Am Pale Wheat Ale,4.5%,San Diego ,CA,0,1,0,,,
Ballast Point,Victory at Sea,Porter,10%,San Diego ,CA,0,0,0,,,
Bells,Christmas ale,Wee heavy ,7.5%,Kalamazoo,MI,0,0,0,,,
Bells,EA,,N/A,Kalamazoo,MI,0,0,0,,,
